epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,5.5963497780308575,0.009058972474192174,0.9058972474192174,1773399062,,False,1,740449df,2026-03-13_16-21-02,57.934316873550415,57.934316873550415,3944353,user-SSI100C3A-48,10.6.0.87,57.934316873550415,1
2,5.331431937940193,0.01192227825733626,1.192227825733626,1773399114,,False,2,740449df,2026-03-13_16-21-54,52.0572030544281,109.99151992797852,3944353,user-SSI100C3A-48,10.6.0.87,109.99151992797852,2
3,5.759245287577311,0.0018682251092554337,0.18682251092554336,1773399168,,False,3,740449df,2026-03-13_16-22-48,54.18349242210388,164.1750123500824,3944353,user-SSI100C3A-48,10.6.0.87,164.1750123500824,3
4,5.700703061421712,0.0018682251092554337,0.18682251092554336,1773399224,,False,4,740449df,2026-03-13_16-23-44,55.46995496749878,219.64496731758118,3944353,user-SSI100C3A-48,10.6.0.87,219.64496731758118,4
5,5.682876081177683,0.001570983797259874,0.1570983797259874,1773399277,,True,5,740449df,2026-03-13_16-24-37,53.494152545928955,273.13911986351013,3944353,user-SSI100C3A-48,10.6.0.87,273.13911986351013,5
