epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,6.00738578500817,0,0.0,1773400069,,False,1,d7293469,2026-03-13_16-37-49,32.19949531555176,32.19949531555176,3946508,user-SSI100C3A-48,10.6.0.87,32.19949531555176,1
2,5.899123398501417,0,0.0,1773400099,,False,2,d7293469,2026-03-13_16-38-19,30.433623552322388,62.633118867874146,3946508,user-SSI100C3A-48,10.6.0.87,62.633118867874146,2
3,5.887369066981946,0,0.0,1773400129,,False,3,d7293469,2026-03-13_16-38-49,29.588587760925293,92.22170662879944,3946508,user-SSI100C3A-48,10.6.0.87,92.22170662879944,3
4,5.882897467070572,0,0.0,1773400159,,False,4,d7293469,2026-03-13_16-39-19,30.409915685653687,122.63162231445312,3946508,user-SSI100C3A-48,10.6.0.87,122.63162231445312,4
5,5.880688794299997,0,0.0,1773400189,,True,5,d7293469,2026-03-13_16-39-49,29.55999255180359,152.1916148662567,3946508,user-SSI100C3A-48,10.6.0.87,152.1916148662567,5
