epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,6.158526868531198,0.022646943142211204,2.26469431422112,1773399860,,False,1,3053426f,2026-03-13_16-34-20,44.790924072265625,44.790924072265625,3946091,user-SSI100C3A-48,10.6.0.87,44.790924072265625,1
2,5.41436729777943,0.05150303436579808,5.150303436579808,1773399903,,False,2,3053426f,2026-03-13_16-35-03,43.110297203063965,87.90122127532959,3946091,user-SSI100C3A-48,10.6.0.87,87.90122127532959,2
3,5.171647535959879,0.05034693496751744,5.034693496751744,1773399946,,False,3,3053426f,2026-03-13_16-35-46,42.90518093109131,130.8064022064209,3946091,user-SSI100C3A-48,10.6.0.87,130.8064022064209,3
4,5.004405358921398,0.048484374102568506,4.84843741025685,1773399989,,False,4,3053426f,2026-03-13_16-36-29,42.97946882247925,173.78587102890015,3946091,user-SSI100C3A-48,10.6.0.87,173.78587102890015,4
5,4.862947738531864,0.05232505988120575,5.232505988120574,1773400032,,True,5,3053426f,2026-03-13_16-37-12,43.25397348403931,217.03984451293945,3946091,user-SSI100C3A-48,10.6.0.87,217.03984451293945,5
