epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,5.532721021825617,0.10300135164753342,10.300135164753343,1773400970,,False,1,d6e65106,2026-03-13_16-52-50,45.78735280036926,45.78735280036926,3948446,user-SSI100C3A-48,10.6.0.87,45.78735280036926,1
2,4.668246893160271,0.10579295530711626,10.579295530711626,1773401014,,False,2,d6e65106,2026-03-13_16-53-34,43.82153654098511,89.60888934135437,3948446,user-SSI100C3A-48,10.6.0.87,89.60888934135437,2
3,4.272700035499804,0.08582121429609217,8.582121429609217,1773401057,,False,3,d6e65106,2026-03-13_16-54-17,43.480719327926636,133.089608669281,3948446,user-SSI100C3A-48,10.6.0.87,133.089608669281,3
4,3.990305251497211,0.10088113178460024,10.088113178460025,1773401101,,False,4,d6e65106,2026-03-13_16-55-01,43.38507676124573,176.47468543052673,3948446,user-SSI100C3A-48,10.6.0.87,176.47468543052673,4
5,3.758700408935547,0.05571804264087944,5.571804264087945,1773401144,,True,5,d6e65106,2026-03-13_16-55-44,43.56765961647034,220.04234504699707,3948446,user-SSI100C3A-48,10.6.0.87,220.04234504699707,5
