epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,6.107122320117372,0.02261039670152264,2.261039670152264,1773398543,,False,1,3d309549,2026-03-13_16-12-23,55.90978193283081,55.90978193283081,3942052,user-SSI100C3A-48,10.6.0.87,55.90978193283081,1
2,5.331138788859049,0.049713514097877214,4.971351409787721,1773398595,,False,2,3d309549,2026-03-13_16-13-15,52.49612259864807,108.40590453147888,3942052,user-SSI100C3A-48,10.6.0.87,108.40590453147888,2
3,5.077232306509307,0.05232505988120575,5.232505988120574,1773398647,,False,3,3d309549,2026-03-13_16-14-07,51.855936765670776,160.26184129714966,3942052,user-SSI100C3A-48,10.6.0.87,160.26184129714966,3
4,4.885172897685658,0.051257214139028354,5.125721413902835,1773398699,,False,4,3d309549,2026-03-13_16-14-59,52.20976781845093,212.4716091156006,3942052,user-SSI100C3A-48,10.6.0.87,212.4716091156006,4
5,4.731691768530643,0.10231958322915238,10.231958322915238,1773398751,,False,5,3d309549,2026-03-13_16-15-51,52.265034198760986,264.7366433143616,3942052,user-SSI100C3A-48,10.6.0.87,264.7366433143616,5
6,4.597722589608395,0.10300135164753342,10.300135164753343,1773398804,,False,6,3d309549,2026-03-13_16-16-44,52.48742151260376,317.22406482696533,3942052,user-SSI100C3A-48,10.6.0.87,317.22406482696533,6
7,4.479539043253118,0.10300135164753342,10.300135164753343,1773398856,,False,7,3d309549,2026-03-13_16-17-36,52.54777431488037,369.7718391418457,3942052,user-SSI100C3A-48,10.6.0.87,369.7718391418457,7
8,4.376012960202766,0.10001261739922007,10.001261739922008,1773398909,,False,8,3d309549,2026-03-13_16-18-29,52.234631299972534,422.00647044181824,3942052,user-SSI100C3A-48,10.6.0.87,422.00647044181824,8
9,4.2824824862046675,0.10051751431381029,10.051751431381028,1773398960,,False,9,3d309549,2026-03-13_16-19-20,51.35453534126282,473.36100578308105,3942052,user-SSI100C3A-48,10.6.0.87,473.36100578308105,9
10,4.198157479835279,0.10300135164753342,10.300135164753343,1773399012,,False,10,3d309549,2026-03-13_16-20-12,51.688443660736084,525.0494494438171,3942052,user-SSI100C3A-48,10.6.0.87,525.0494494438171,10
11,4.112244173974702,0.10649786724615393,10.649786724615392,1773399063,,False,11,3d309549,2026-03-13_16-21-03,51.712448596954346,576.7618980407715,3942052,user-SSI100C3A-48,10.6.0.87,576.7618980407715,11
12,4.037798811305653,0.10661492399896667,10.661492399896668,1773399116,,False,12,3d309549,2026-03-13_16-21-56,52.764655113220215,629.5265531539917,3942052,user-SSI100C3A-48,10.6.0.87,629.5265531539917,12
13,3.9663867340665875,0.10389582034504177,10.389582034504178,1773399168,,False,13,3d309549,2026-03-13_16-22-48,51.30510950088501,680.8316626548767,3942052,user-SSI100C3A-48,10.6.0.87,680.8316626548767,13
14,3.900685770439379,0.10389582034504177,10.389582034504178,1773399221,,False,14,3d309549,2026-03-13_16-23-41,53.318174600601196,734.1498372554779,3942052,user-SSI100C3A-48,10.6.0.87,734.1498372554779,14
15,3.834980488690463,0.09447069020820523,9.447069020820523,1773399273,,False,15,3d309549,2026-03-13_16-24-33,52.367087841033936,786.5169250965118,3942052,user-SSI100C3A-48,10.6.0.87,786.5169250965118,15
16,3.778028130675807,0.09418380485393343,9.418380485393344,1773399326,,False,16,3d309549,2026-03-13_16-25-26,52.881312131881714,839.3982372283936,3942052,user-SSI100C3A-48,10.6.0.87,839.3982372283936,16
17,3.7223541485179554,0.09883254340181867,9.883254340181868,1773399379,,False,17,3d309549,2026-03-13_16-26-19,52.86404991149902,892.2622871398926,3942052,user-SSI100C3A-48,10.6.0.87,892.2622871398926,17
18,3.665249335260102,0.09729381187654451,9.72938118765445,1773399432,,False,18,3d309549,2026-03-13_16-27-12,52.837971210479736,945.1002583503723,3942052,user-SSI100C3A-48,10.6.0.87,945.1002583503723,18
19,3.605732890909368,0.10922852805160857,10.922852805160858,1773399484,,False,19,3d309549,2026-03-13_16-28-04,52.59598731994629,997.6962456703186,3942052,user-SSI100C3A-48,10.6.0.87,997.6962456703186,19
20,3.5551300358049795,0.11691248973463055,11.691248973463054,1773399536,,True,20,3d309549,2026-03-13_16-28-56,51.99939012527466,1049.6956357955933,3942052,user-SSI100C3A-48,10.6.0.87,1049.6956357955933,20
